id,"product-live-url","product-image","offer-price","original-price","product-charge","discount","product-name","product-badge"
62,"https://www.joyalukkas.in/mesmerizing-diamond-ring-mudr00015396.html","https://cdn.joyalukkas.in/media/catalog/product/m/u/mudr00015396_9.jpg?tr=w-360","₹60,318","₹64,114","on Making Charges","50% Off","Mesmerizing Diamond Ring",
63,"https://www.joyalukkas.in/dewdrop-inspired-diamond-ring-dsdr00018211.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdr00018211_1.jpg?tr=w-360","₹20,602","₹22,479","on Making Charges","50% Off","Dewdrop Inspired Diamond Ring","New"
64,"https://www.joyalukkas.in/fluttering-affinity-pendant-dsdp00012804.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdp00012804_1.jpg?tr=w-360","₹33,899","₹38,368","on Making Charges","50% Off","Fluttering Affinity Pendant",
65,"https://www.joyalukkas.in/floral-flourish-ring-dsdr00021794.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdr00021794_1.jpg?tr=w-360","₹14,999","₹16,815","on Making Charges","50% Off","Floral Flourish Ring","New"
66,"https://www.joyalukkas.in/timber-trellis-pendant-dsdp00012801.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdp00012801_1.jpg?tr=w-360","₹49,226","₹53,849","on Making Charges","50% Off","Timber Trellis Pendant","Express Delivery"
67,"https://www.joyalukkas.in/blooming-blossom-earrings-dsde00030376.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsde00030376_1.jpg?tr=w-360","₹28,222","₹31,518","on Making Charges","50% Off","Blooming Blossom Earrings","Express Delivery"
68,"https://www.joyalukkas.in/captivating-diamond-ring-dsdr00020855.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdr00020855_1.jpg?tr=w-360","₹62,754","₹65,652","on Making Charges","50% Off","Captivating Diamond Ring",
69,"https://www.joyalukkas.in/radiant-droplet-earring-dsde00030382.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsde00030382_1.jpg?tr=w-360","₹52,262","₹57,463","on Making Charges","50% Off","Radiant Droplet Earring","New"
70,"https://www.joyalukkas.in/stellar-sparkle-diamond-ring-lsdr00012462.html","https://cdn.joyalukkas.in/media/catalog/product/l/s/lsdr00012462_1.jpg?tr=w-360","₹151,653","₹154,897","on Making Charges","50% Off","Stellar Sparkle Diamond Ring",
71,"https://www.joyalukkas.in/refined-men-diamond-bracelet-mudb00004394.html","https://cdn.joyalukkas.in/media/catalog/product/m/u/mudb00004394_1.jpg?tr=w-360","₹108,649","₹116,412","on Making Charges","50% Off","Refined Men Diamond Bracelet","Express Delivery"
